"MPG","bodyType","color","description","engine","location","mileage","price","primaryImage","title","transmission","url","vehicleDetails","vin"
"18 city / 27 hwy","SUV","White","Used 2019 Chevrolet Traverse LS with  Front-Wheel Drive, Preferred Equipment Package, Interior Protection Package, 18 Inch Wheels, Led Lights, Third Row Seating, Heated Mirrors, Cloth Seats, and USB Adapter","6 Cyl 3.6 L","Whittier, CA  (12 miles from Los Angeles, CA)","97,115 miles","$15,495","https://carfax-img.vast.com/carfax/v2/-8159446765214345184/1/344x258","Used 2019 Chevrolet Traverse LS LS1","Automatic","https://www.carfax.com/vehicle/1GNERFKW5KJ276484","Other damage reportedPurchased on 05/30/19 and owned in CA until 10/10/24Last serviced at 97,090 miles in Upland, CA on 10/15/24 Driven an estimated 18,219  miles/year.","1GNERFKW5KJ276484"
"30 city / 37 hwy","SUV","Gray","Used 2024 Nissan Rogue S with  Front-Wheel Drive, Keyless Entry, Spoiler, Blind Spot Monitor, Alloy Wheels, 17 Inch Wheels, Satellite Radio, Nissanconnect, and Cloth Seats","3 Cyl 1.5 L","Hawthorne, CA  (9 miles from Los Angeles, CA)","53,360 miles","$19,300","https://carfax-img.vast.com/carfax/v2/4487336040369117273/1/344x258","Used 2024 Nissan Rogue S","Automatic","https://www.carfax.com/vehicle/5N1BT3AA1RC724571","No accident or damage reported to CARFAXPurchased on 04/29/24 and owned in MO until 05/30/25Last serviced at 53,360 miles in Hawthorne, CA on 06/11/25 Driven an estimated 47,725  miles/year.","5N1BT3AA1RC724571"
"19 city / 26 hwy","Sedan","Blue","Used 2022 Subaru WRX Premium with  All-Wheel Drive, Popular Package, Keyless Entry, Fog Lights, Spoiler, Heated Seats, 18 Inch Wheels, Heated Mirrors, and Satellite Radio","4 Cyl 2.4 L","Lancaster, CA  (48 miles from Los Angeles, CA)","73,497 miles","$22,997","https://carfax-img.vast.com/carfax/v2/-8878845305815741816/1/344x258","Used 2022 Subaru WRX Premium","Manual","https://www.carfax.com/vehicle/JF1VBAF60N9011445","No accident or damage reported to CARFAXPurchased on 07/20/22 and owned in CA until 04/19/25Last serviced at 73,497 miles in Lancaster, CA on 05/21/25 Driven an estimated 26,697  miles/year.","JF1VBAF60N9011445"
"30 city / 40 hwy","Sedan","Black","Used 2020 Volkswagen Jetta S with  Front-Wheel Drive, Driver Assistance Package, Keyless Entry, Blind Spot Monitor, Alloy Wheels, Heated Mirrors, Satellite Radio, 16 Inch Wheels, Cloth Seats, and Independent Suspension","4 Cyl 1.4 L","North Hills, CA  (21 miles from Los Angeles, CA)","70,118 miles","$14,499","https://carfax-img.vast.com/carfax/v2/5613383400068151547/1/344x258","Certified Used 2020 Volkswagen Jetta S","Automatic","https://www.carfax.com/vehicle/3VWCB7BU2LM072770","No accident or damage reported to CARFAXPurchased on 12/07/20 and owned in CA until 09/12/24Last serviced at 61,492 miles in Shelton, WA on 10/22/24 Driven an estimated 13,966  miles/year.","3VWCB7BU2LM072770"
"29 city / 35 hwy","Hatchback","Gray","Used 2020 Honda Civic EX with  Front-Wheel Drive, Keyless Entry, Fog Lights, Spoiler, Alloy Wheels, Lane Departure Warning, Heated Mirrors, Satellite Radio, Hondalink, Premium Sound System, and Cloth Seats","4 Cyl 1.5 L","Lancaster, CA  (48 miles from Los Angeles, CA)","99,125 miles","$16,994","https://carfax-img.vast.com/carfax/v2/-2754916793380127683/1/344x258","Used 2020 Honda Civic EX","Automatic","https://www.carfax.com/vehicle/SHHFK7H64LU407829","No accident or damage reported to CARFAXPurchased on 12/22/19 and owned in CA until 03/23/25Last serviced at 99,125 miles in Lancaster, CA on 03/31/25 Driven an estimated 19,078  miles/year.","SHHFK7H64LU407829"
"23 city / 31 hwy","4 Cyl 2.0 L","SUV","Used 2021 Mercedes-Benz GLB 250 with  Front-Wheel Drive, Premium Package, Remote Start, Keyless Entry, Fog Lights, Cargo Cover, Bucket Seats, Power Liftgate, Blind Spot Monitor, Alloy Wheels, and Led Lights","Automatic","Valencia, CA  (35 miles from Los Angeles, CA)","55,684 miles","$23,700","https://carfax-img.vast.com/carfax/v2/732099678701198792/1/344x258","Used 2021 Mercedes-Benz GLB 250",,"https://www.carfax.com/vehicle/W1N4M4GB2MW102075","No accident or damage reported to CARFAXPurchased on 07/25/21 and owned in CA until 04/28/25Last serviced in Valencia, CA on 05/06/25 Driven an estimated 14,900  miles/year.","W1N4M4GB2MW102075"
"29 city / 37 hwy","Hatchback","Silver","Used 2022 Honda Civic Sport with  Front-Wheel Drive, Remote Start, Keyless Entry, Cargo Cover, Bucket Seats, Alloy Wheels, Led Lights, Lane Departure Warning, Keyless Ignition, Cloth Seats, and Rear Bench Seat","4 Cyl 2.0 L","Huntington Beach, CA  (25 miles from Los Angeles, CA)","50,410 miles","$21,568","https://carfax-img.vast.com/carfax/v2/-6112446970336451951/1/344x258","Certified Used 2022 Honda Civic Sport","Automatic","https://www.carfax.com/vehicle/19XFL2H86NE012059","No accident or damage reported to CARFAXPurchased on 03/14/22 and owned in CA until 04/26/25Last serviced in Huntington Beach, CA on 04/28/25 Driven an estimated 16,472  miles/year.","19XFL2H86NE012059"
"50 city / 47 hwy","Sedan","Gray","Used 2025 Honda Civic Sport Touring with  Front-Wheel Drive, Navigation System, Keyless Entry, Leather Seats, Heated Seats, Blind Spot Monitor, 18 Inch Wheels, Alloy Wheels, Bose Sound System, Heated Mirrors, and Hondalink","4 Cyl 2.0 L","Lancaster, CA  (48 miles from Los Angeles, CA)","7,655 miles","$30,619","https://carfax-img.vast.com/carfax/v2/4020930205666701958/1/344x258","Certified Used 2025 Honda Civic Sport Touring","Automatic","https://www.carfax.com/vehicle/2HGFE4F80SH322380","No accident or damage reported to CARFAXPurchased on 03/03/25 and owned in CA until 05/13/25Last serviced at 6,076 miles in Lancaster, CA on 05/14/25 Driven an estimated 0  miles/year.","2HGFE4F80SH322380"
"96 city / 83 hwy","SUV","White","Used 2024 Acura ZDX A-Spec with  Rear-Wheel Drive, A-Spec Package, Remote Start, Navigation System, Keyless Entry, Leather Seats, Heated Seats, Heated Steering Wheel, Bucket Seats, Power Liftgate, and Blind Spot Monitor","Electric","Sherman Oaks, CA  (18 miles from Los Angeles, CA)","16,529 miles","$36,999","https://carfax-img.vast.com/carfax/v2/-4624985355855270323/1/344x258","Used 2024 Acura ZDX A-Spec","Automatic","https://www.carfax.com/vehicle/4W5KHMRK1RZ502119","No accident or damage reported to CARFAXPurchased on 10/09/24 and owned in CA until 05/16/25Last serviced at 16,529 miles in Sherman Oaks, CA on 05/17/25 Driven an estimated 0  miles/year.","4W5KHMRK1RZ502119"
"22 city / 29 hwy","SUV","White","Used 2020 Volkswagen Tiguan S with  Front-Wheel Drive, Navigation System, Keyless Entry, Bucket Seats, Blind Spot Monitor, Alloy Wheels, Third Row Seating, Heated Mirrors, Cloth Seats, 7-Passenger Seating, and Rear Bench Seat","4 Cyl 2.0 L","Irvine, CA  (38 miles from Los Angeles, CA)","40,767 miles","$17,988","https://carfax-img.vast.com/carfax/v2/9142105367197314102/1/344x258","Certified Used 2020 Volkswagen Tiguan S","Automatic","https://www.carfax.com/vehicle/3VV1B7AXXLM109863","No accident or damage reported to CARFAXPurchased on 12/29/20 and owned in CA until 05/24/25Last serviced at 40,833 miles in Irvine, CA on 05/29/25 Driven an estimated 9,358  miles/year.","3VV1B7AXXLM109863"
"25 city / 32 hwy","Wagon","White","Used 2017 Subaru Outback 2.5i Limited with  All-Wheel Drive, Navigation System, Leather Seats, and Lane Departure Warning","4 Cyl 2.5 L","Whittier, CA  (12 miles from Los Angeles, CA)","128,457 miles","$11,995","https://carfax-img.vast.com/carfax/v2/-2128495672240857307/1/344x258","Used 2017 Subaru Outback 2.5i Limited","Automatic","https://www.carfax.com/vehicle/4S4BSANC3H3210593","Accident reported: minor damagePurchased on 10/01/16 and owned in CA until 04/01/25Last serviced at 126,381 miles in San Jose, CA on 01/23/25 Driven an estimated 15,221  miles/year.","4S4BSANC3H3210593"
"18 city / 23 hwy","SUV","White","Used 2021 Volkswagen Atlas SE with  Front-Wheel Drive, Towing Package, Keyless Entry, Fog Lights, Trailer Hitch, Spoiler, Heated Seats, Roof Rails, Power Liftgate, Alloy Wheels, and 20 Inch Wheels","6 Cyl 3.6 L","Torrance, CA  (11 miles from Los Angeles, CA)","75,711 miles","$20,140","https://carfax-img.vast.com/carfax/v2/-8516410931195820418/1/344x258","Used 2021 Volkswagen Atlas SE w/Technology","Automatic","https://www.carfax.com/vehicle/1V2WE2CA1MC235716","No accident or damage reported to CARFAXPurchased on 10/29/21 and owned in CA until 03/13/25Last serviced at 75,711 miles in Torrance, CA on 05/28/25 Driven an estimated 22,386  miles/year.","1V2WE2CA1MC235716"
"23 city / 31 hwy","SUV","Gray","Used 2021 Mercedes-Benz GLB 250 with  Front-Wheel Drive, Keyless Entry, Fog Lights, Spoiler, Roof Rails, Power Liftgate, 18 Inch Wheels, Alloy Wheels, Heated Mirrors, Seat Memory, and Premium Sound System","4 Cyl 2.0 L","Garden Grove, CA  (23 miles from Los Angeles, CA)","45,274 miles","$23,994","https://carfax-img.vast.com/carfax/v2/-6823684607765346970/1/344x258","Used 2021 Mercedes-Benz GLB 250","Automatic","https://www.carfax.com/vehicle/W1N4M4GB9MW129807","No accident or damage reported to CARFAXPurchased on 07/05/21 and owned in CA until 05/17/25Last serviced in Garden Grove, CA on 05/29/25 Driven an estimated 11,837  miles/year.","W1N4M4GB9MW129807"
"26 city / 31 hwy","SUV","White","Used 2020 Chevrolet Equinox LS with  Front-Wheel Drive, Keyless Entry, Roof Rails, Tinted Windows, Led Lights, 17 Inch Wheels, Lane Departure Warning, Heated Mirrors, 16 Inch Wheels, Side Airbags, and Active Grille Shutters","4 Cyl 1.5 L","City Of Industry, CA  (18 miles from Los Angeles, CA)","39,771 miles","$16,795","https://carfax-img.vast.com/carfax/v2/8896357456457716934/1/344x258","Used 2020 Chevrolet Equinox LS 1LS","Automatic","https://www.carfax.com/vehicle/3GNAXHEVXLS714631","No accident or damage reported to CARFAXPurchased on 09/14/20 and owned in CA until 06/06/25Last serviced in Glendora, CA on 05/21/25 Driven an estimated 8,499  miles/year.","3GNAXHEVXLS714631"
"21 city / 28 hwy","SUV","Black","Used 2022 Volkswagen Tiguan S with  All-Wheel Drive, Keyless Entry, Spoiler, Heated Seats, Roof Rails, Alloy Wheels, 17 Inch Wheels, Heated Mirrors, and Cloth Seats","4 Cyl 2.0 L","Hawthorne, CA  (9 miles from Los Angeles, CA)","45,319 miles","$18,500","https://carfax-img.vast.com/carfax/v2/3358555133895986053/1/344x258","Used 2022 Volkswagen Tiguan S","Automatic","https://www.carfax.com/vehicle/3VV0B7AX1NM108941","No accident or damage reported to CARFAXPurchased on 06/11/22 and owned in CA until 04/11/25Last serviced at 45,319 miles in Hawthorne, CA on 04/17/25 Driven an estimated 16,194  miles/year.","3VV0B7AX1NM108941"
"28 city / 36 hwy","SUV","Gray","Used 2022 Volkswagen Taos S with  Front-Wheel Drive, Convenience Package, Keyless Entry, Spoiler, Roof Rails, Blind Spot Monitor, Alloy Wheels, 17 Inch Wheels, Lane Departure Warning, Satellite Radio, and Cloth Seats","4 Cyl 1.5 L","Glendale, CA  (11 miles from Los Angeles, CA)","36,030 miles","$18,249","https://carfax-img.vast.com/carfax/v2/-4765394105028400331/1/344x258","Certified Used 2022 Volkswagen Taos S","Automatic","https://www.carfax.com/vehicle/3VVDX7B24NM003252","No accident or damage reported to CARFAXPurchased on 06/07/21 and owned in CA until 06/12/25Last serviced at 8,415 miles in Glendale, CA on 06/13/22 Driven an estimated 9,062  miles/year.","3VVDX7B24NM003252"
"30 city / 37 hwy","Hatchback","White","Used 2024 Honda Civic Sport Touring with  Front-Wheel Drive, Navigation System, Keyless Entry, Fog Lights, Leather Seats, Heated Seats, Blind Spot Monitor, 18 Inch Wheels, Alloy Wheels, Lane Departure Warning, and Bose Sound System","4 Cyl 1.5 L","Palmdale, CA  (43 miles from Los Angeles, CA)","5,561 miles","$28,991","https://carfax-img.vast.com/carfax/v2/-1305282353655306604/1/344x258","Certified Used 2024 Honda Civic Sport Touring","Automatic","https://www.carfax.com/vehicle/19XFL1H81RE025222","No accident or damage reported to CARFAXPurchased on 08/08/24 and owned in CA until 04/02/25Last serviced at 5,561 miles in Palmdale, CA on 04/10/25 Driven an estimated 0  miles/year.","19XFL1H81RE025222"
"15 city / 21 hwy","Pickup","White","Used 2020 Ford F-150 XLT with  Four-Wheel Drive, Fog Lights, Trailer Hitch, Sync 3, Alloy Wheels, Supercrew Cab, and Front Bench Seat","8 Cyl 5.0 L","Santa Ana, CA  (28 miles from Los Angeles, CA)","145,562 miles","$20,995","https://carfax-img.vast.com/carfax/v2/-2349796794558971208/1/344x258","Used 2020 Ford F-150 XLT","Automatic","https://www.carfax.com/vehicle/1FTFW1E54LKD61694","Other damage reportedPurchased on 03/25/20 and owned in KS until 08/01/24Last serviced in Lake Forest, CA on 12/03/24 Driven an estimated 33,000  miles/year.","1FTFW1E54LKD61694"
"29 city / 35 hwy","Hatchback","White","Used 2021 Honda Civic EX with  Front-Wheel Drive, Remote Start, Keyless Entry, Fog Lights, Heated Seats, Cargo Cover, Bucket Seats, Alloy Wheels, Lane Departure Warning, Heated Mirrors, and Satellite Radio","4 Cyl 1.5 L","Irvine, CA  (38 miles from Los Angeles, CA)","83,196 miles","$20,588","https://carfax-img.vast.com/carfax/v2/3906845148980347645/1/344x258","Used 2021 Honda Civic EX","Automatic","https://www.carfax.com/vehicle/SHHFK7H6XMU409280","Other damage reportedPurchased on 06/12/21 and owned in CA until 05/31/25Last serviced in Irvine, CA on 06/02/25 Driven an estimated 20,956  miles/year.","SHHFK7H6XMU409280"
"25 city / 32 hwy","SUV","White","Used 2025 Subaru Forester Sport with  All-Wheel Drive, Keyless Entry, Fog Lights, Spoiler, Heated Seats, 19 Inch Wheels, Heated Mirrors, Satellite Radio, and Power Tailgate","4 Cyl 2.5 L","Lancaster, CA  (48 miles from Los Angeles, CA)","10,008 miles","$33,992","https://carfax-img.vast.com/carfax/v2/663328779405675996/1/344x258","Certified Used 2025 Subaru Forester Sport","Automatic","https://www.carfax.com/vehicle/JF2SLDHC3SH450771","No accident or damage reported to CARFAXPurchased on 01/07/25 and owned in CA until 05/23/25Last serviced in Lancaster, CA on 05/27/25 Driven an estimated 0  miles/year.","JF2SLDHC3SH450771"
"18 city / 25 hwy","SUV","Black","Used 2023 Cadillac XT6 Sport with  All-Wheel Drive, Technology Package, Sport Package, Driver Assistance Package, Navigation System, Keyless Entry, Spoiler, Leather Seats, Heated Seats, Heated Steering Wheel, and Roof Rails","6 Cyl 3.6 L","Covina, CA  (22 miles from Los Angeles, CA)","31,375 miles","$40,500","https://carfax-img.vast.com/carfax/v2/1627598169697734033/1/344x258","Used 2023 Cadillac XT6 Sport","Automatic","https://www.carfax.com/vehicle/1GYKPGRS4PZ132180","No accident or damage reported to CARFAXPurchased on 11/08/22 and owned in CA until 04/05/25Last serviced at 31,375 miles in Covina, CA on 05/08/25 Driven an estimated 13,160  miles/year.","1GYKPGRS4PZ132180"
"19 city / 26 hwy","SUV","Black","Used 2022 Acura MDX Base with  Front-Wheel Drive, Technology Package, Remote Start, Navigation System, Keyless Entry, Leather Seats, Heated Seats, Bucket Seats, Power Liftgate, Blind Spot Monitor, and Alloy Wheels","6 Cyl 3.5 L","Sherman Oaks, CA  (18 miles from Los Angeles, CA)","28,981 miles","$36,778","https://carfax-img.vast.com/carfax/v2/3527364353636331241/1/344x258","Certified Used 2022 Acura MDX Base Technology","Automatic","https://www.carfax.com/vehicle/5J8YD9H47NL011054","No accident or damage reported to CARFAXPurchased on 04/13/22 and owned in CA until 05/24/25Last serviced at 28,981 miles in Sherman Oaks, CA on 05/29/25 Driven an estimated 9,368  miles/year.","5J8YD9H47NL011054"
"25 city / 30 hwy","SUV","Silver","Used 2017 Hyundai Tucson Limited Edition with  Front-Wheel Drive, Ultimate Package, Navigation System, Keyless Entry, Fog Lights, Leather Seats, Heated Seats, Dual Exhaust, Blind Spot Monitor, Alloy Wheels, and Led Lights","4 Cyl 1.6 L","Claremont, CA  (31 miles from Los Angeles, CA)","105,105 miles","$11,995","https://carfax-img.vast.com/carfax/v2/6074544053142211667/1/344x258","Used 2017 Hyundai Tucson Limited Edition","Automatic","https://www.carfax.com/vehicle/KM8J33A21HU376347","No accident or damage reported to CARFAXPurchased on 02/03/17 and owned in CA until 02/07/25Last serviced at 97,001 miles in Oxnard, CA on 07/22/24 Driven an estimated 13,219  miles/year.","KM8J33A21HU376347"
"16 city / 21 hwy","SUV","Black","Used 2013 Acura MDX with  All-Wheel Drive, Leather Seats, Heated Seats, Alloy Wheels, and Satellite Radio","6 Cyl 3.7 L","Upland, CA  (36 miles from Los Angeles, CA)","125,512 miles","$9,995","https://carfax-img.vast.com/carfax/v2/4039548685083799685/1/344x258","Used 2013 Acura MDX","Automatic","https://www.carfax.com/vehicle/2HNYD2H26DH513127","No accident or damage reported to CARFAXPurchased on 02/22/13 and owned in NY until 01/16/25Last serviced at 125,421 miles in Torrance, CA on 12/30/24 Driven an estimated 10,574  miles/year.","2HNYD2H26DH513127"
"26 city / 32 hwy","SUV","Blue","Used 2019 Chevrolet Equinox LT with  Front-Wheel Drive, Driver Confidence Package, Preferred Equipment Package, Driver Convenience Package, Remote Start, Keyless Entry, Heated Seats, Tinted Windows, Blind Spot Monitor, Alloy Wheels, and Led Lights","4 Cyl 1.5 L","Upland, CA  (36 miles from Los Angeles, CA)","103,381 miles","$12,995","https://carfax-img.vast.com/carfax/v2/912565722816116978/1/344x258","Used 2019 Chevrolet Equinox LT LT1","Automatic","https://www.carfax.com/vehicle/3GNAXKEV7KS578700","No accident or damage reported to CARFAXPurchased on 03/22/19 and owned in CA until 06/19/24Last serviced at 102,931 miles in Thousand Oaks, CA on 06/03/24 Driven an estimated 19,653  miles/year.","3GNAXKEV7KS578700"
"21 city / 30 hwy","SUV","Red","Used 2013 Hyundai Tucson GLS with  Front-Wheel Drive, Splash Guards","4 Cyl 2.4 L","Upland, CA  (36 miles from Los Angeles, CA)","110,148 miles","$7,995","https://carfax-img.vast.com/carfax/v2/-5242106955244556055/1/344x258","Used 2013 Hyundai Tucson GLS","Automatic","https://www.carfax.com/vehicle/KM8JU3AC2DU657010","No accident or damage reported to CARFAXPurchased on 01/19/13 and owned in CA until 12/03/24Last serviced at 109,247 miles in San Diego, CA on 10/30/24 Driven an estimated 9,268  miles/year.","KM8JU3AC2DU657010"
